#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             LocalECP            NonLocalECP         ElecElec            IonIon              BlockWeight         BlockCPU            AcceptRatio         
        62   -1.0465518402e+01    1.0980772014e+02   -2.1653861021e+01    1.1188342619e+01   -6.6915863814e+00    5.3337273018e-01   -2.7199799463e+00   -1.2775667423e+01    1.4000000000e+02    3.3140000000e-03    7.6517857143e-01
        63   -1.0544959294e+01    1.1145742561e+02   -2.1880073047e+01    1.1335113753e+01   -6.7840349664e+00    6.3606080468e-01   -2.9564314624e+00   -1.2775667423e+01    1.4000000000e+02    3.4020000000e-03    7.8482142857e-01
        64   -1.0522439583e+01    1.1097626120e+02   -2.1653305117e+01    1.1130865534e+01   -7.1112850741e+00    8.5372040511e-01   -2.6200730245e+00   -1.2775667423e+01    1.4000000000e+02    3.0320000000e-03    7.5580357143e-01
        65   -1.0569922376e+01    1.1200965527e+02   -2.2763285863e+01    1.2193363488e+01   -7.8970676118e+00    6.6453560947e-01   -2.7550864379e+00   -1.2775667423e+01    1.4000000000e+02    3.1930000000e-03    7.5401785714e-01
        66   -1.0549559671e+01    1.1163497906e+02   -2.2230747743e+01    1.1681188072e+01   -7.3944994416e+00    7.0089279438e-01   -2.7614736723e+00   -1.2775667423e+01    1.4000000000e+02    3.0660000000e-03    7.6383928571e-01
        67   -1.0493372665e+01    1.1043801246e+02   -2.2265103160e+01    1.1771730495e+01   -7.4231370836e+00    5.5432007605e-01   -2.6206187288e+00   -1.2775667423e+01    1.4000000000e+02    3.0360000000e-03    7.6696428571e-01
        68   -1.0475277184e+01    1.1002552655e+02   -2.1582808092e+01    1.1107530908e+01   -6.6956775428e+00    5.2364719393e-01   -2.6351103202e+00   -1.2775667423e+01    1.4000000000e+02    3.2540000000e-03    7.4508928571e-01
        69   -1.0367605455e+01    1.0785916393e+02   -2.1397241104e+01    1.1029635649e+01   -6.6280100779e+00    4.1683571847e-01   -2.4103993216e+00   -1.2775667423e+01    1.4000000000e+02    3.1590000000e-03    7.5937500000e-01
        70   -1.0445854476e+01    1.0959833073e+02   -2.2206225329e+01    1.1760370853e+01   -7.2829461567e+00    6.1420978346e-01   -2.7618215326e+00   -1.2775667423e+01    1.4000000000e+02    3.0710000000e-03    7.6741071429e-01
        71   -1.0573245009e+01    1.1219777156e+02   -2.1792088828e+01    1.1218843818e+01   -6.9785139392e+00    6.4580875120e-01   -2.6837162164e+00   -1.2775667423e+01    1.4000000000e+02    3.0840000000e-03    7.6919642857e-01
        72   -1.0456027108e+01    1.0968495733e+02   -2.3151606544e+01    1.2695579436e+01   -7.9980790692e+00    3.3228523439e-01   -2.7101452857e+00   -1.2775667423e+01    1.4000000000e+02    3.0070000000e-03    7.5044642857e-01
        73   -1.0370200324e+01    1.0789153622e+02   -2.1767100022e+01    1.1396899698e+01   -7.2095919569e+00    7.1685894772e-01   -2.4986995892e+00   -1.2775667423e+01    1.4000000000e+02    3.2830000000e-03    7.6205357143e-01
        74   -1.0483950156e+01    1.1031588727e+02   -2.1987833805e+01    1.1503883649e+01   -7.2583364608e+00    7.6770277804e-01   -2.7215326991e+00   -1.2775667423e+01    1.4000000000e+02    3.2450000000e-03    7.5625000000e-01
        75   -1.0465306925e+01    1.0999745011e+02   -2.1413042688e+01    1.0947735763e+01   -6.5733508681e+00    5.9701025973e-01   -2.6610346562e+00   -1.2775667423e+01    1.4000000000e+02    2.9930000000e-03    7.6875000000e-01
        76   -1.0492869138e+01    1.1054516022e+02   -2.2224365903e+01    1.1731496765e+01   -7.3951334350e+00    6.4357815919e-01   -2.6971432038e+00   -1.2775667423e+01    1.4000000000e+02    3.0820000000e-03    7.7321428571e-01
        77   -1.0510111749e+01    1.1108144472e+02   -2.2368653092e+01    1.1858541343e+01   -7.7529469729e+00    8.3136540886e-01   -2.6714041044e+00   -1.2775667423e+01    1.4000000000e+02    3.2570000000e-03    7.6696428571e-01
        78   -1.0510191326e+01    1.1080021505e+02   -2.2799652691e+01    1.2289461365e+01   -7.8828299831e+00    4.3498945067e-01   -2.5761447356e+00   -1.2775667423e+01    1.4000000000e+02    3.1120000000e-03    7.4553571429e-01
        79   -1.0387111122e+01    1.0821643030e+02   -2.1866948161e+01    1.1479837040e+01   -7.0178065293e+00    7.3621353739e-01   -2.8096877459e+00   -1.2775667423e+01    1.4000000000e+02    3.2380000000e-03    7.7410714286e-01
        80   -1.0521644545e+01    1.1104185716e+02   -2.2572139868e+01    1.2050495323e+01   -7.5576258613e+00    4.0239482013e-01   -2.6412414037e+00   -1.2775667423e+01    1.4000000000e+02    3.1380000000e-03    7.5714285714e-01
        81   -1.0437368851e+01    1.0924074519e+02   -2.1791044876e+01    1.1353676025e+01   -7.1951995687e+00    8.3536565692e-01   -2.6555435406e+00   -1.2775667423e+01    1.4000000000e+02    3.0840000000e-03    7.7098214286e-01
        82   -1.0468207285e+01    1.0990893988e+02   -2.0364751972e+01    9.8965446872e+00   -5.4280083282e+00    3.3513370250e-01   -2.4962099228e+00   -1.2775667423e+01    1.4000000000e+02    2.9520000000e-03    7.6651785714e-01
        83   -1.0447125137e+01    1.0989819939e+02   -2.1493507001e+01    1.1046381864e+01   -6.6769746341e+00    6.3613531322e-01   -2.6770002567e+00   -1.2775667423e+01    1.4000000000e+02    3.0800000000e-03    7.4776785714e-01
        84   -1.0487527396e+01    1.1025295532e+02   -2.1695421248e+01    1.1207893852e+01   -6.6170659807e+00    5.2254526916e-01   -2.8252331131e+00   -1.2775667423e+01    1.4000000000e+02    3.0150000000e-03    7.5714285714e-01
        85   -1.0540667583e+01    1.1194194092e+02   -2.1996649380e+01    1.1455981797e+01   -7.3719083184e+00    7.5056926921e-01   -2.5996429077e+00   -1.2775667423e+01    1.4000000000e+02    3.4150000000e-03    7.6607142857e-01
        86   -1.0520414998e+01    1.1098488142e+02   -2.1278346237e+01    1.0757931239e+01   -6.1176767394e+00    4.6851064663e-01   -2.8535127207e+00   -1.2775667423e+01    1.4000000000e+02    3.0570000000e-03    7.6964285714e-01
        87   -1.0510840078e+01    1.1085652324e+02   -2.1959629593e+01    1.1448789515e+01   -6.9165857635e+00    3.7264763495e-01   -2.6400240409e+00   -1.2775667423e+01    1.4000000000e+02    3.2100000000e-03    7.6205357143e-01
        88   -1.0429983132e+01    1.0917449706e+02   -2.2027774098e+01    1.1597790966e+01   -6.8480119416e+00    4.8297983623e-01   -2.8870745693e+00   -1.2775667423e+01    1.4000000000e+02    3.1420000000e-03    7.5982142857e-01
        89   -1.0473529351e+01    1.1010862104e+02   -2.1706619398e+01    1.1233090047e+01   -6.7561047455e+00    8.1234953515e-01   -2.9871967638e+00   -1.2775667423e+01    1.4000000000e+02    4.3610000000e-03    7.6741071429e-01
        90   -1.0603402936e+01    1.1341928727e+02   -2.1886891370e+01    1.1283488434e+01   -7.4620170706e+00    1.0192264479e+00   -2.6684333244e+00   -1.2775667423e+01    1.4000000000e+02    5.6510000000e-03    7.5982142857e-01
        91   -1.0485647415e+01    1.1025228898e+02   -2.1374564298e+01    1.0888916883e+01   -6.4644102748e+00    6.2553146909e-01   -2.7600180694e+00   -1.2775667423e+01    1.4000000000e+02    3.0040000000e-03    7.6294642857e-01
        92   -1.0503788751e+01    1.1078762467e+02   -2.2225711291e+01    1.1721922540e+01   -7.7075669662e+00    5.9387539219e-01   -2.3363522938e+00   -1.2775667423e+01    1.4000000000e+02    3.6940000000e-03    7.5982142857e-01
        93   -1.0566876314e+01    1.1189540121e+02   -2.2158337669e+01    1.1591461354e+01   -7.3488958479e+00    7.2728491121e-01   -2.7610593086e+00   -1.2775667423e+01    1.4000000000e+02    3.1260000000e-03    7.6160714286e-01
