#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            IonElec             IonIon              BlockWeight         BlockCPU            AcceptRatio         
        58   -2.1364201254e+00    4.7078515523e+00   -3.9250521842e+00    1.7886320588e+00    1.7989603777e+00   -7.5960271565e+00    1.8720145947e+00    1.4000000000e+03    1.0668000000e-02    9.9035714286e-01
        59   -2.1388226161e+00    4.7082849861e+00   -4.2877487021e+00    2.1489260860e+00    1.7567684024e+00   -7.9165316991e+00    1.8720145947e+00    1.4000000000e+03    1.0320000000e-02    9.8410714286e-01
        60   -2.0793509536e+00    4.4472792236e+00   -4.1909516934e+00    2.1116007399e+00    1.8741282023e+00   -7.9370944903e+00    1.8720145947e+00    1.4000000000e+03    1.0553000000e-02    9.9017857143e-01
        61   -2.1382772364e+00    4.7080762447e+00   -4.4950036662e+00    2.3567264298e+00    1.7533786257e+00   -8.1203968866e+00    1.8720145947e+00    1.4000000000e+03    1.0466000000e-02    9.8607142857e-01
        62   -2.0997730168e+00    4.5537134828e+00   -3.9337059721e+00    1.8339329553e+00    1.7568103383e+00   -7.5625309050e+00    1.8720145947e+00    1.4000000000e+03    1.0169000000e-02    9.8678571429e-01
        63   -2.1347270729e+00    4.6984212034e+00   -3.8432648248e+00    1.7085377519e+00    1.8266516984e+00   -7.5419311178e+00    1.8720145947e+00    1.4000000000e+03    1.0349000000e-02    9.8928571429e-01
        64   -2.1136888400e+00    4.5901553201e+00   -4.1744468107e+00    2.0607579708e+00    1.7578688639e+00   -7.8043302693e+00    1.8720145947e+00    1.4000000000e+03    1.0367000000e-02    9.8892857143e-01
        65   -2.1273369910e+00    4.6837548144e+00   -4.2284076639e+00    2.1010706728e+00    1.9600907450e+00   -8.0605130035e+00    1.8720145947e+00    1.4000000000e+03    1.0346000000e-02    9.9017857143e-01
        66   -2.0726092783e+00    4.4053555960e+00   -4.1356425367e+00    2.0630332584e+00    1.8966254298e+00   -7.9042825612e+00    1.8720145947e+00    1.4000000000e+03    1.0514000000e-02    9.8928571429e-01
        67   -2.2116399706e+00    5.0864486808e+00   -4.1183853983e+00    1.9067454277e+00    1.9057184757e+00   -7.8961184687e+00    1.8720145947e+00    1.4000000000e+03    1.0361000000e-02    9.8607142857e-01
        68   -2.2075180205e+00    5.0479925169e+00   -4.0743425599e+00    1.8668245394e+00    1.8090871144e+00   -7.7554442690e+00    1.8720145947e+00    1.4000000000e+03    1.0488000000e-02    9.8660714286e-01
        69   -2.1434086465e+00    4.7410326064e+00   -4.1629160191e+00    2.0195073726e+00    1.8158731412e+00   -7.8508037549e+00    1.8720145947e+00    1.4000000000e+03    1.0292000000e-02    9.8875000000e-01
        70   -2.1218070522e+00    4.6874139366e+00   -4.2842317255e+00    2.1624246733e+00    1.8055292020e+00   -7.9617755222e+00    1.8720145947e+00    1.4000000000e+03    1.0554000000e-02    9.8803571429e-01
        71   -2.0221116648e+00    4.3559254828e+00   -4.4591175998e+00    2.4370059349e+00    1.8445247056e+00   -8.1756569001e+00    1.8720145947e+00    1.4000000000e+03    1.0134000000e-02    9.8482142857e-01
        72   -1.9807793684e+00    4.1802873108e+00   -4.2296156685e+00    2.2488363001e+00    1.8130894965e+00   -7.9147197597e+00    1.8720145947e+00    1.4000000000e+03    1.0387000000e-02    9.8500000000e-01
        73   -2.1608753647e+00    4.8048281159e+00   -4.4870624012e+00    2.3261870365e+00    1.8546113105e+00   -8.2136883063e+00    1.8720145947e+00    1.4000000000e+03    1.0371000000e-02    9.8642857143e-01
        74   -2.1679243845e+00    4.8285980787e+00   -4.5310439833e+00    2.3631195988e+00    1.9057567978e+00   -8.3088153757e+00    1.8720145947e+00    1.4000000000e+03    1.0310000000e-02    9.8946428571e-01
        75   -2.0988976387e+00    4.5460548432e+00   -4.5821851125e+00    2.4832874738e+00    1.8452015955e+00   -8.2994013026e+00    1.8720145947e+00    1.4000000000e+03    1.0474000000e-02    9.8964285714e-01
        76   -2.1181188864e+00    4.7045311321e+00   -4.2928242203e+00    2.1747053339e+00    1.8861317494e+00   -8.0509705643e+00    1.8720145947e+00    1.4000000000e+03    1.0491000000e-02    9.8642857143e-01
        77   -2.0728166348e+00    4.4782204120e+00   -4.3369643464e+00    2.2641477116e+00    1.9506155759e+00   -8.1595945170e+00    1.8720145947e+00    1.4000000000e+03    1.0264000000e-02    9.8571428571e-01
        78   -2.0465110678e+00    4.3358126308e+00   -4.2251171658e+00    2.1786060980e+00    1.9673864912e+00   -8.0645182517e+00    1.8720145947e+00    1.4000000000e+03    1.0479000000e-02    9.8857142857e-01
        79   -2.1439998802e+00    4.7235896288e+00   -4.2958257148e+00    2.1518258346e+00    1.8008856171e+00   -7.9687259265e+00    1.8720145947e+00    1.4000000000e+03    1.0317000000e-02    9.8571428571e-01
        80   -2.1363053662e+00    4.7096483662e+00   -4.1888868127e+00    2.0525814465e+00    1.8326942369e+00   -7.8935956443e+00    1.8720145947e+00    1.4000000000e+03    1.0510000000e-02    9.8625000000e-01
        81   -2.1130293315e+00    4.6014420746e+00   -4.5068467414e+00    2.3938174098e+00    1.7698487692e+00   -8.1487101052e+00    1.8720145947e+00    1.4000000000e+03    1.0385000000e-02    9.8589285714e-01
        82   -2.1543793007e+00    4.7813891418e+00   -4.0593587342e+00    1.9049794334e+00    1.7397860196e+00   -7.6711593484e+00    1.8720145947e+00    1.4000000000e+03    1.0353000000e-02    9.8696428571e-01
        83   -2.0563186435e+00    4.3713313148e+00   -4.1200578437e+00    2.0637392002e+00    1.8202962933e+00   -7.8123687316e+00    1.8720145947e+00    1.4000000000e+03    1.0424000000e-02    9.8767857143e-01
        84   -2.1480077474e+00    4.7538594430e+00   -4.3335115857e+00    2.1855038383e+00    1.8639648915e+00   -8.0694910719e+00    1.8720145947e+00    1.4000000000e+03    1.0158000000e-02    9.8714285714e-01
        85   -2.0937641442e+00    4.5383294454e+00   -4.5233103555e+00    2.4295462113e+00    1.8628854762e+00   -8.2582104264e+00    1.8720145947e+00    1.4000000000e+03    1.0474000000e-02    9.8232142857e-01
        86   -2.0518591019e+00    4.3605458653e+00   -4.4151969811e+00    2.3633378792e+00    1.8099546031e+00   -8.0971661789e+00    1.8720145947e+00    1.4000000000e+03    1.0140000000e-02    9.8750000000e-01
        87   -2.1163106782e+00    4.6147331211e+00   -4.3131105397e+00    2.1967998615e+00    1.8233606806e+00   -8.0084858150e+00    1.8720145947e+00    1.4000000000e+03    1.0905000000e-02    9.8892857143e-01
        88   -2.1514097738e+00    4.7996536144e+00   -4.3152152562e+00    2.1638054824e+00    1.8267379393e+00   -8.0139677901e+00    1.8720145947e+00    1.4000000000e+03    1.0306000000e-02    9.9000000000e-01
        89   -2.1970318331e+00    4.9780284877e+00   -4.0354394510e+00    1.8384076179e+00    1.8338281533e+00   -7.7412821989e+00    1.8720145947e+00    1.4000000000e+03    1.0204000000e-02    9.8875000000e-01
        90   -2.2035234823e+00    5.0327270516e+00   -4.1189143233e+00    1.9153908410e+00    1.7551774041e+00   -7.7461063221e+00    1.8720145947e+00    1.4000000000e+03    1.0455000000e-02    9.8535714286e-01
        91   -2.1099395472e+00    4.5875386297e+00   -4.3115994271e+00    2.2016598799e+00    1.8795345753e+00   -8.0631485970e+00    1.8720145947e+00    1.4000000000e+03    9.9910000000e-03    9.8589285714e-01
        92   -2.0906864432e+00    4.5199062668e+00   -4.6173794898e+00    2.5266930466e+00    1.7787905094e+00   -8.2681845939e+00    1.8720145947e+00    1.4000000000e+03    1.0310000000e-02    9.8410714286e-01
        93   -2.0807873498e+00    4.5145360704e+00   -4.2348401970e+00    2.1540528472e+00    1.8172736304e+00   -7.9241284220e+00    1.8720145947e+00    1.4000000000e+03    1.0271000000e-02    9.8928571429e-01
        94   -2.1803987118e+00    4.9313714293e+00   -4.3204351949e+00    2.1400364831e+00    1.7728326975e+00   -7.9652824871e+00    1.8720145947e+00    1.4000000000e+03    1.0217000000e-02    9.8964285714e-01
        95   -2.1593152598e+00    4.8450357831e+00   -4.7503442132e+00    2.5910289534e+00    1.8274739986e+00   -8.4498328064e+00    1.8720145947e+00    1.4000000000e+03    1.0414000000e-02    9.8660714286e-01
        96   -2.1776662803e+00    4.8766368825e+00   -4.1382058088e+00    1.9605395285e+00    1.7375174295e+00   -7.7477378330e+00    1.8720145947e+00    1.4000000000e+03    1.0331000000e-02    9.8732142857e-01
        97   -2.1013780120e+00    4.5919212714e+00   -4.2999146292e+00    2.1985366171e+00    1.9064804546e+00   -8.0784096784e+00    1.8720145947e+00    1.4000000000e+03    1.0485000000e-02    9.8428571429e-01
        98   -2.1081587225e+00    4.5816775652e+00   -4.1845154008e+00    2.0763566783e+00    1.8612084535e+00   -7.9177384489e+00    1.8720145947e+00    1.4000000000e+03    1.0385000000e-02    9.8785714286e-01
        99   -2.1367461399e+00    4.7034104982e+00   -4.2646364177e+00    2.1278902778e+00    1.9627111995e+00   -8.0993622118e+00    1.8720145947e+00    1.4000000000e+03    9.3660000000e-03    9.9000000000e-01
       100   -2.1466584953e+00    4.7300579089e+00   -4.2867436792e+00    2.1400851839e+00    1.8215523716e+00   -7.9803106454e+00    1.8720145947e+00    1.4000000000e+03    9.4600000000e-03    9.8964285714e-01
       101   -2.0960833539e+00    4.5374086981e+00   -4.2412755484e+00    2.1451921945e+00    1.7674472123e+00   -7.8807373554e+00    1.8720145947e+00    1.4000000000e+03    1.0366000000e-02    9.8785714286e-01
       102   -2.0702340641e+00    4.4034914634e+00   -4.2718919831e+00    2.2016579190e+00    1.7588775182e+00   -7.9027840960e+00    1.8720145947e+00    1.4000000000e+03    1.0310000000e-02    9.8750000000e-01
       103   -2.1706390999e+00    4.8322333370e+00   -3.8831822584e+00    1.7125431585e+00    1.7770497439e+00   -7.5322465970e+00    1.8720145947e+00    1.4000000000e+03    1.0346000000e-02    9.8964285714e-01
       104   -2.1256606388e+00    4.6562860378e+00   -4.1320240153e+00    2.0063633766e+00    1.8120631435e+00   -7.8161017535e+00    1.8720145947e+00    1.4000000000e+03    1.0408000000e-02    9.8714285714e-01
       105   -2.1485741494e+00    4.7603813218e+00   -4.0961454039e+00    1.9475712545e+00    1.7787401462e+00   -7.7469001447e+00    1.8720145947e+00    1.4000000000e+03    1.0100000000e-02    9.8821428571e-01
       106   -2.0963144962e+00    4.5132471878e+00   -3.9953552849e+00    1.8990407888e+00    1.8212309458e+00   -7.6886008254e+00    1.8720145947e+00    1.4000000000e+03    1.0057000000e-02    9.9000000000e-01
