#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             LocalECP            NonLocalECP         ElecElec            IonIon              BlockWeight         BlockCPU            AcceptRatio         
        59   -1.0547027053e+01    1.1151812957e+02   -2.1632072727e+01    1.1085045674e+01   -6.4804347028e+00    5.2277013389e-01   -2.8987407343e+00   -1.2775667423e+01    1.2343611934e+03    1.6647000000e-02    9.9756888169e-01
        60   -1.0532592002e+01    1.1146861000e+02   -2.1538753292e+01    1.1006161290e+01   -6.5684895419e+00    6.7555585301e-01   -2.8701521798e+00   -1.2775667423e+01    1.2730712272e+03    1.7231000000e-02    9.9803613511e-01
        61   -1.0543676363e+01    1.1144273057e+02   -2.1580744145e+01    1.1037067782e+01   -6.8340313573e+00    7.4054357194e-01   -2.7115889363e+00   -1.2775667423e+01    1.3458078237e+03    1.7308000000e-02    9.9795690936e-01
        62   -1.0517534992e+01    1.1092538320e+02   -2.1775156829e+01    1.1257621837e+01   -6.9629315482e+00    8.6033368031e-01   -2.8968915379e+00   -1.2775667423e+01    1.3486060674e+03    1.6576000000e-02    9.9777613047e-01
        63   -1.0554466614e+01    1.1207019748e+02   -2.2226545508e+01    1.1672078894e+01   -7.1879255286e+00    5.8685630194e-01   -2.8498088576e+00   -1.2775667423e+01    1.3448392616e+03    1.8681000000e-02    9.9851301115e-01
        64   -1.0536122812e+01    1.1146769447e+02   -2.2489132809e+01    1.1953009998e+01   -7.6710494972e+00    7.2804772238e-01   -2.7704636113e+00   -1.2775667423e+01    1.3099050005e+03    2.0186000000e-02    9.9837786260e-01
        65   -1.0546671074e+01    1.1164630459e+02   -2.2664497102e+01    1.2117826028e+01   -8.3685360435e+00    9.3629323452e-01   -2.4565868694e+00   -1.2775667423e+01    1.2841046353e+03    1.7354000000e-02    9.9737149533e-01
        66   -1.0561538046e+01    1.1186163133e+02   -2.2944541282e+01    1.2383003236e+01   -8.7406982878e+00    1.0470100919e+00   -2.4751856630e+00   -1.2775667423e+01    1.2921820584e+03    1.6367000000e-02    9.9758126935e-01
        67   -1.0554401790e+01    1.1166817995e+02   -2.3023942074e+01    1.2469540285e+01   -8.3754386388e+00    8.5194582062e-01   -2.7247818328e+00   -1.2775667423e+01    1.3020757198e+03    1.6794000000e-02    9.9769585253e-01
        68   -1.0578911380e+01    1.1226888329e+02   -2.2626124454e+01    1.2047213074e+01   -8.2608127979e+00    1.0164694246e+00   -2.6061136576e+00   -1.2775667423e+01    1.3340762313e+03    1.7346000000e-02    9.9737631184e-01
        69   -1.0473719908e+01    1.1003808956e+02   -2.2183118230e+01    1.1709398322e+01   -7.4763462469e+00    6.9386135389e-01   -2.6249659141e+00   -1.2775667423e+01    1.3105114156e+03    1.6412000000e-02    9.9809305873e-01
        70   -1.0491687527e+01    1.1039582259e+02   -2.2230894871e+01    1.1739207344e+01   -7.7344728521e+00    7.5981178233e-01   -2.4805663782e+00   -1.2775667423e+01    1.3215327761e+03    1.6442000000e-02    9.9716338880e-01
        71   -1.0498659803e+01    1.1050830677e+02   -2.2506487362e+01    1.2007827559e+01   -7.7491560285e+00    6.2457203125e-01   -2.6062359413e+00   -1.2775667423e+01    1.3345667880e+03    1.8469000000e-02    9.9803370787e-01
        72   -1.0472458325e+01    1.1010228834e+02   -2.2615857386e+01    1.2143399062e+01   -7.8447168009e+00    5.5151559574e-01   -2.5469887580e+00   -1.2775667423e+01    1.3900676583e+03    1.9543000000e-02    9.9811286844e-01
        73   -1.0484148525e+01    1.1031390658e+02   -2.2733624645e+01    1.2249476120e+01   -7.7845189745e+00    5.8127078547e-01   -2.7547090330e+00   -1.2775667423e+01    1.3712492697e+03    1.8532000000e-02    9.9799562682e-01
        74   -1.0497675712e+01    1.1051649231e+02   -2.2328346774e+01    1.1830671062e+01   -7.4110936178e+00    5.2443797835e-01   -2.6660237110e+00   -1.2775667423e+01    1.3474690125e+03    1.8128000000e-02    9.9888724036e-01
        75   -1.0532663072e+01    1.1123961975e+02   -2.2155972168e+01    1.1623309096e+01   -7.0598775318e+00    4.2349173226e-01   -2.7439189450e+00   -1.2775667423e+01    1.3526892968e+03    1.8178000000e-02    9.9750554324e-01
        76   -1.0555189455e+01    1.1172831494e+02   -2.2011554142e+01    1.1456364687e+01   -6.8769222932e+00    5.7572351279e-01   -2.9346879380e+00   -1.2775667423e+01    1.3567958838e+03    2.0048000000e-02    9.9797347089e-01
        77   -1.0569578272e+01    1.1247645039e+02   -2.2297787876e+01    1.1728209604e+01   -7.1719943888e+00    5.3669682230e-01   -2.8868228861e+00   -1.2775667423e+01    1.3161423382e+03    1.8784000000e-02    9.9810030395e-01
        78   -1.0555498407e+01    1.1176759975e+02   -2.2754377943e+01    1.2198879536e+01   -7.6863110791e+00    5.0804128306e-01   -2.8004407239e+00   -1.2775667423e+01    1.2792043348e+03    1.8372000000e-02    9.9745895231e-01
        79   -1.0595154503e+01    1.1265912570e+02   -2.2075750051e+01    1.1480595548e+01   -7.2556536013e+00    7.0414749725e-01   -2.7485765238e+00   -1.2775667423e+01    1.2744422446e+03    1.8120000000e-02    9.9823390895e-01
        80   -1.0573807221e+01    1.1212462897e+02   -2.1827406409e+01    1.1253599188e+01   -6.8886021160e+00    5.8066631692e-01   -2.7438031862e+00   -1.2775667423e+01    1.2992360838e+03    1.8347000000e-02    9.9769053118e-01
        81   -1.0556818179e+01    1.1176206059e+02   -2.1912954392e+01    1.1356136213e+01   -6.9803700937e+00    4.7150369731e-01   -2.6284205723e+00   -1.2775667423e+01    1.2413355111e+03    1.7278000000e-02    9.9838839645e-01
        82   -1.0589543479e+01    1.1266992514e+02   -2.2668858974e+01    1.2079315495e+01   -7.6398319800e+00    4.2321581443e-01   -2.6765753850e+00   -1.2775667423e+01    1.2306261806e+03    1.7461000000e-02    9.9796747967e-01
        83   -1.0552904400e+01    1.1168413266e+02   -2.2598974032e+01    1.2046069631e+01   -8.0411449957e+00    7.5459427884e-01   -2.5367558914e+00   -1.2775667423e+01    1.2781847766e+03    1.6855000000e-02    9.9853286385e-01
        84   -1.0486401977e+01    1.1039288790e+02   -2.2286423940e+01    1.1800021963e+01   -7.5893928311e+00    4.3975426916e-01   -2.3611179553e+00   -1.2775667423e+01    1.3185241156e+03    1.7259000000e-02    9.9687263078e-01
        85   -1.0522251318e+01    1.1103476771e+02   -2.2468014112e+01    1.1945762793e+01   -7.4114097352e+00    3.9954924336e-01   -2.6804861963e+00   -1.2775667423e+01    1.3326975202e+03    1.7828000000e-02    9.9746811703e-01
        86   -1.0510012086e+01    1.1077848661e+02   -2.2735873099e+01    1.2225861013e+01   -7.7609974150e+00    4.2409193336e-01   -2.6233001940e+00   -1.2775667423e+01    1.3136941057e+03    1.6837000000e-02    9.9800228311e-01
        87   -1.0494288219e+01    1.1042206654e+02   -2.2718846603e+01    1.2224558383e+01   -7.5557595741e+00    2.7594666500e-01   -2.6633662702e+00   -1.2775667423e+01    1.2767987138e+03    1.6937000000e-02    9.9794440094e-01
        88   -1.0571696856e+01    1.1208743845e+02   -2.2873469886e+01    1.2301773030e+01   -7.9926725936e+00    6.6362184078e-01   -2.7687517103e+00   -1.2775667423e+01    1.3490034493e+03    1.8111000000e-02    9.9814677539e-01
        89   -1.0490364266e+01    1.1040423163e+02   -2.3002838084e+01    1.2512473818e+01   -8.2057439120e+00    7.0341946109e-01   -2.7248462095e+00   -1.2775667423e+01    1.4150184940e+03    1.9479000000e-02    9.9743997175e-01
        90   -1.0521443435e+01    1.1110961718e+02   -2.3114066615e+01    1.2592623180e+01   -8.5332077382e+00    7.9210040520e-01   -2.5972918581e+00   -1.2775667423e+01    1.4331572261e+03    2.0007000000e-02    9.9686192469e-01
        91   -1.0539560565e+01    1.1164509316e+02   -2.2678139731e+01    1.2138579166e+01   -7.8427924195e+00    4.8293093836e-01   -2.5426108267e+00   -1.2775667423e+01    1.4858762391e+03    2.0083000000e-02    9.9789845326e-01
        92   -1.0528837270e+01    1.1126755687e+02   -2.2861617615e+01    1.2332780345e+01   -7.9292742565e+00    4.6557458184e-01   -2.6222505171e+00   -1.2775667423e+01    1.4730077612e+03    1.9941000000e-02    9.9762550882e-01
        93   -1.0475752279e+01    1.1006943702e+02   -2.2074398867e+01    1.1598646588e+01   -7.0556391100e+00    4.2833311473e-01   -2.6714254484e+00   -1.2775667423e+01    1.4964612390e+03    1.9881000000e-02    9.9866488652e-01
        94   -1.0540078935e+01    1.1154732946e+02   -2.1803114716e+01    1.1263035781e+01   -6.6922576831e+00    3.4369040574e-01   -2.6788800158e+00   -1.2775667423e+01    1.5058114971e+03    2.0536000000e-02    9.9776045123e-01
        95   -1.0550972442e+01    1.1164288344e+02   -2.2197733389e+01    1.1646760947e+01   -7.2586281532e+00    5.1390291022e-01   -2.6773407227e+00   -1.2775667423e+01    1.4850495744e+03    2.0213000000e-02    9.9739232840e-01
        96   -1.0527713688e+01    1.1115146808e+02   -2.2349676258e+01    1.1821962570e+01   -7.5328470941e+00    6.6469639052e-01   -2.7058581307e+00   -1.2775667423e+01    1.4749695941e+03    2.0200000000e-02    9.9839092141e-01
        97   -1.0493765933e+01    1.1042235171e+02   -2.2444815808e+01    1.1951049875e+01   -7.6699257758e+00    7.1840653496e-01   -2.7176291441e+00   -1.2775667423e+01    1.4309926730e+03    2.0008000000e-02    9.9807960894e-01
        98   -1.0570408369e+01    1.1212254633e+02   -2.2248381086e+01    1.1677972717e+01   -7.7110417828e+00    8.2382933388e-01   -2.5855012139e+00   -1.2775667423e+01    1.3897098595e+03    1.8451000000e-02    9.9847122302e-01
        99   -1.0559850855e+01    1.1190177425e+02   -2.2786737397e+01    1.2226886542e+01   -8.0718934915e+00    6.4541774884e-01   -2.5845942312e+00   -1.2775667423e+01    1.3687425284e+03    1.7855000000e-02    9.9771731191e-01
