# Index          LocalEnergy            Variance              Weight        NumOfWalkers      AvgSentWalkers         TrialEnergy             DiffEff      LivingFraction
        80   -1.0530885740e+01    2.9842876898e-01    6.5006308597e+01    6.5000000000e+01    0.0000000000e+00   -1.0501816049e+01    9.9178760587e-01    1.0000000000e+00
        81   -1.0595483493e+01    3.1174720109e-01    6.5019238150e+01    6.5000000000e+01    0.0000000000e+00   -1.0503124143e+01    9.9085272156e-01    1.0000000000e+00
        82   -1.0537283746e+01    3.9294626672e-01    6.5019103851e+01    6.5000000000e+01    0.0000000000e+00   -1.0506696789e+01    9.9713132908e-01    1.0000000000e+00
        83   -1.0516084249e+01    3.6429825056e-01    6.5005750128e+01    6.5000000000e+01    0.0000000000e+00   -1.0508100392e+01    9.9695465297e-01    1.0000000000e+00
        84   -1.0480783660e+01    3.3484604124e-01    6.4996444109e+01    6.5000000000e+01    0.0000000000e+00   -1.0508594457e+01    9.9672200492e-01    9.6923076923e-01
        85   -1.0536188345e+01    3.2125542347e-01    6.3001423796e+01    6.3000000000e+01    0.0000000000e+00   -1.0508102200e+01    9.8792857758e-01    1.0000000000e+00
        86   -1.0492961371e+01    3.3257654988e-01    6.3011207483e+01    6.3000000000e+01    0.0000000000e+00   -1.0478136287e+01    9.9727722315e-01    1.0000000000e+00
        87   -1.0511310292e+01    3.4731432476e-01    6.3007259399e+01    6.3000000000e+01    0.0000000000e+00   -1.0478267225e+01    9.9173793159e-01    1.0000000000e+00
        88   -1.0451372888e+01    4.0316768524e-01    6.3000586899e+01    6.3000000000e+01    0.0000000000e+00   -1.0478664371e+01    9.8821585987e-01    1.0000000000e+00
        89   -1.0462122410e+01    4.5687504030e-01    6.2993198210e+01    6.3000000000e+01    0.0000000000e+00   -1.0477457834e+01    9.9344921555e-01    1.0000000000e+00
        90   -1.0510263486e+01    3.7539475630e-01    6.3002747609e+01    6.3000000000e+01    0.0000000000e+00   -1.0476563686e+01    1.0000000000e+00    1.0000000000e+00
        91   -1.0536614048e+01    3.8654648169e-01    6.3014268335e+01    6.3000000000e+01    0.0000000000e+00   -1.0477150475e+01    1.0000000000e+00    1.0000000000e+00
        92   -1.0550385696e+01    2.9648429891e-01    6.3020215224e+01    6.3000000000e+01    0.0000000000e+00   -1.0478375196e+01    9.9503536656e-01    1.0000000000e+00
        93   -1.0596471572e+01    3.3712074202e-01    6.3029180956e+01    6.3000000000e+01    0.0000000000e+00   -1.0479783253e+01    9.9170158787e-01    1.0000000000e+00
        94   -1.0571053936e+01    3.5575374777e-01    6.3031652774e+01    6.3000000000e+01    0.0000000000e+00   -1.0482226892e+01    1.0000000000e+00    1.0000000000e+00
        95   -1.0591073143e+01    4.0485141892e-01    6.3030258219e+01    6.3000000000e+01    0.0000000000e+00   -1.0483900370e+01    9.9797814908e-01    1.0000000000e+00
        96   -1.0542738678e+01    5.0125666652e-01    6.3025153699e+01    6.3000000000e+01    0.0000000000e+00   -1.0485876652e+01    1.0000000000e+00    1.0000000000e+00
        97   -1.0540694819e+01    4.1003185242e-01    6.3016964882e+01    6.3000000000e+01    0.0000000000e+00   -1.0486680639e+01    9.9204719077e-01    1.0000000000e+00
        98   -1.0537660779e+01    4.0679368755e-01    6.3015969759e+01    6.3000000000e+01    0.0000000000e+00   -1.0487356222e+01    9.9169162917e-01    1.0000000000e+00
        99   -1.0560636109e+01    5.3285254587e-01    6.3018859993e+01    6.3000000000e+01    0.0000000000e+00   -1.0488051154e+01    9.9801869465e-01    1.0000000000e+00
       100   -1.0581666062e+01    5.9397679274e-01    6.3025363961e+01    6.3000000000e+01    0.0000000000e+00   -1.0489238819e+01    1.0000000000e+00    1.0000000000e+00
       101   -1.0612459170e+01    4.8345236633e-01    6.3032954332e+01    6.3000000000e+01    0.0000000000e+00   -1.0490851397e+01    9.9289463689e-01    9.8412698413e-01
       102   -1.0520829818e+01    5.6457207582e-01    6.2025930557e+01    6.2000000000e+01    0.0000000000e+00   -1.0493015322e+01    1.0000000000e+00    1.0000000000e+00
       103   -1.0657920858e+01    6.1719848861e-01    6.2034288255e+01    6.2000000000e+01    0.0000000000e+00   -1.0477147710e+01    9.9246633913e-01    1.0000000000e+00
       104   -1.0559297044e+01    4.9484347689e-01    6.2039322001e+01    6.2000000000e+01    0.0000000000e+00   -1.0480049902e+01    1.0000000000e+00    1.0000000000e+00
       105   -1.0717257583e+01    1.2686431779e+00    6.2048105968e+01    6.2000000000e+01    0.0000000000e+00   -1.0481004704e+01    1.0000000000e+00    1.0000000000e+00
       106   -1.0602756539e+01    6.0806796893e-01    6.2053593209e+01    6.2000000000e+01    0.0000000000e+00   -1.0484809463e+01    9.9447535193e-01    1.0000000000e+00
       107   -1.0613694569e+01    8.4227281843e-01    6.2037114169e+01    6.2000000000e+01    0.0000000000e+00   -1.0486423754e+01    9.9949658856e-01    1.0000000000e+00
       108   -1.0706153523e+01    7.8213476036e-01    6.2052667471e+01    6.2000000000e+01    0.0000000000e+00   -1.0487819987e+01    9.9739505964e-01    1.0000000000e+00
       109   -1.0610304184e+01    7.9826878265e-01    6.2051058962e+01    6.2000000000e+01    0.0000000000e+00   -1.0491243263e+01    9.9421434899e-01    1.0000000000e+00
       110   -1.0593180479e+01    9.3900280806e-01    6.2033120073e+01    6.2000000000e+01    0.0000000000e+00   -1.0492686697e+01    9.9835710192e-01    1.0000000000e+00
